memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
256,warm,False,24195346,0.039666,24283205,24197130,44.0
256,warm,False,24243843,0.042795,24321142,0,
256,warm,False,24265376,0.03976,24336603,24266420,44.0
256,warm,False,23158673,0.039996,23222390,0,
256,warm,False,23840970,0.040385,23912481,0,
256,cold,True,24800290,0.067105,25192313,24802040,44.0
256,cold,True,24466998,0.046981,24840563,24469080,44.0
256,cold,True,24867698,0.066728,25280585,24869570,44.0
256,cold,True,24792187,0.060691,25201525,24797460,44.0
256,cold,True,24534093,0.057525,24908181,24536010,44.0
128,warm,False,24204527,0.043503,24272966,24205860,44.0
128,warm,False,24318882,0.03951,24396159,24320170,44.0
128,warm,False,24387194,0.046276,24471213,24388290,44.0
128,warm,False,24436285,0.041001,24506435,24437270,44.0
128,warm,False,24462780,0.041235,24531533,24464410,44.0
128,cold,True,25402718,0.040747,25851049,25415980,44.0
128,cold,True,25426296,0.038909,25818338,25437940,44.0
128,cold,True,24641298,0.039606,24971921,24643080,44.0
128,cold,True,25343853,0.041511,25688971,25346180,44.0
128,cold,True,25156772,0.042596,25566296,25162010,44.0
